id,text,description,source_description
mq_0198,"What I need is a real, live ghost. That's an oxymoron, Daph.",Movie quote from Scooby-Doo on Zombie Island (1998),Scooby-Doo on Zombie Island (1998)
mq_0199,"You can feel the chill in the air, cut, who opened a window?",Movie quote from Scooby-Doo on Zombie Island (1998),Scooby-Doo on Zombie Island (1998)
mq_0200,A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,Movie quote from The Silence of the lambs (1998),The Silence of the lambs (1998)
mq_0201,"No matter how the wind howls, the mountain cannot bow to it.",Movie quote from Mulan (1998),Mulan (1998)
mq_0202,"I’m the Dude, so that’s what you call me. That or, uh His Dudeness, or uh Duder, or El Duderino, if you’re not into the whole brevity thing.",Movie quote from The Big Lebowski (1998),The Big Lebowski (1998)
mq_0203,Zoinks! How humiliating! Chased into a hole by 1/3 of a B.L.T.!,Movie quote from Scooby-Doo on Zombie Island (1998),Scooby-Doo on Zombie Island (1998)
mq_0204,Make the money. Don’t let it make you.,Movie quote from The Player's Club (1998),The Player's Club (1998)
mq_0205,"Wipe your upper lip, romeo.",Movie quote from Scooby-Doo on Zombie Island (1998),Scooby-Doo on Zombie Island (1998)
mq_0206,"Put the weed in the bag first, then get money.",Movie quote from Belly (1998),Belly (1998)
mq_0207,A single grain of rice can tip the scale. One man may be the difference between victory and defeat.,Movie quote from Mulan (1998),Mulan (1998)
mq_0208,You're taking all the caviar? That caviar is a garnish!,Movie quote from You've Got Mail (1998),You've Got Mail (1998)
mq_0209,The flower that blooms in adversity is the most rare and beautiful of all.,Movie quote from Mulan (1998),Mulan (1998)
mq_0210,"Like... we're not looking for any ghoul-friends, are we, Scooby?",Movie quote from Scooby-Doo on Zombie Island (1998),Scooby-Doo on Zombie Island (1998)
mq_0211,I'm having an old friend for dinner.,Movie quote from The Silence of the lambs (1998),The Silence of the lambs (1998)
mq_0212,"I live in Notting Hill. You live in Beverly Hills. Everyone in the world knows who you are, my mother has trouble remembering my name.",Movie quote from Notting Hill (1999),Notting Hill (1999)
mq_0213,"I'm also just a girl, standing in front of a boy, asking him to love her.",Movie quote from Notting Hill (1999),Notting Hill (1999)
mq_0214,Time is always against us.,Movie quote from The Matrix (1999),The Matrix (1999)
mq_0215,"The things you used to own, now they own you.",Movie quote from Fight Club (1999),Fight Club (1999)
mq_0216,Don't touch my nakama(friend) anymore! ,Movie quote from One Piece (1999),One Piece (1999)
mq_0217,It’s only after we’ve lost everything that we’re free to do anything.,Movie quote from Fight Club (1999),Fight Club (1999)
mq_0218,Don’t let anyone ever make you feel like you don’t deserve what you want.,Movie quote from 10 Things I Hate About You (1999),10 Things I Hate About You (1999)
mq_0219,"Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.",Movie quote from The Matrix (1999),The Matrix (1999)
mq_0220,Ignorance Is Bliss,Movie quote from The Matrix (1999),The Matrix (1999)
mq_0221,I see dead people.,Movie quote from The Sixth Sense (1999),The Sixth Sense (1999)
mq_0222,The first rule of Fight Club is: You do not talk about Fight Club.,Movie quote from Fight Club (1999),Fight Club (1999)
mq_0223,There is a difference between knowing the path and walking the path.,Movie quote from The Matrix (1999),The Matrix (1999)
mq_0224,It's only after we've lost everything that we're free to do anything.,Movie quote from Fight Club (1999),Fight Club (1999)
mq_0225, I was the warm little center that the life of this world crowded around.,Movie quote from Fight Club (1999),Fight Club (1999)
mq_0226,Fear. Fear attracts the fearful… the strong… the weak… the innocent… the corrupt. Fear. Fear is my ally.,Movie quote from Star Wars: Episode I – The Phantom Menace (1999),Star Wars: Episode I – The Phantom Menace (1999)
mq_0227,By Grabthar's hammer...what a savings.,Movie quote from Galaxy Quest (1999),Galaxy Quest (1999)
mq_0228,Stop trying to control everything and just let go! LET GO!,Movie quote from Fight Club (1999),Fight Club (1999)
mq_0229,Miracles only happen to those who never give up,Movie quote from One Piece (1999),One Piece (1999)
mq_0230,You met me at a very strange time in my life,Movie quote from Fight Club (1999),Fight Club (1999)
mq_0231,I know kung fu.,Movie quote from The Matrix (1999),The Matrix (1999)
mq_0232,People hurt the ones they love. That's how it is all around the world,Movie quote from The Green Mile (1999),The Green Mile (1999)
mq_0233,We need guns. Lots of guns.,Movie quote from Matrix (1999),Matrix (1999)
mq_0234,Damn! We're in a tight spot!,"Movie quote from O Brother, Where Art Thou? (2000)","O Brother, Where Art Thou? (2000)"
mq_0235,Are you not entertained?,Movie quote from Gladiator (2000),Gladiator (2000)
mq_0236,They called me Mr. Glass.,Movie quote from Unbreakable (2000),Unbreakable (2000)
mq_0237,"I have nipples, Greg. Could you milk me?",Movie quote from Meet the Parents (2000),Meet the Parents (2000)
mq_0238,"I hope he didn’t die. Unless he left a note naming me his successor, then I hope he did die.",Movie quote from Futurama (2000),Futurama (2000)
